iso3,year,acaps_pin
"",2018,0
AFG,2019,6.41
ARG,2019,0
BDI,2019,1.73
BFA,2019,0.95
BGD,2019,1.13
BHS,2019,0.01
BIH,2019,0
BRA,2019,0.22
CAF,2019,2.9
CMR,2019,4.32
COD,2019,22.79
COG,2019,0
COL,2019,5.2
CRI,2019,0.01
DJI,2019,0.33
DZA,2019,0
ECU,2019,0.39
EGY,2019,0.07
ERI,2019,2.58
ESP,2019,0
ETH,2019,8.86
GRC,2019,0.04
GTM,2019,6.46
HND,2019,0.97
HTI,2019,3.68
IDN,2019,1.46
IND,2019,0
IRN,2019,2.02
IRQ,2019,6.79
ITA,2019,0
JOR,2019,0
KEN,2019,3.59
LAO,2019,0.04
LBN,2019,0.19
LBY,2019,1.08
LSO,2019,0.43
MAR,2019,0
MDG,2019,1.31
MEX,2019,0
MLI,2019,3.9
MMR,2019,0.93
MOZ,2019,3.28
MRT,2019,0.28
MWI,2019,3.31
NER,2019,2.21
NGA,2019,9.86
NIC,2019,0.3
NPL,2019,0.13
PAK,2019,3.04
PAN,2019,0
PER,2019,0.73
PHL,2019,0.4
PNG,2019,0
PRK,2019,10.9
PSE,2019,2.5
NGA; NER; TCD; CMR,2019,10.28
VEN; BRA; COL; ECU; PER; TTO; CHL; DOM; PAN,2019,17.53
IND; PAK,2019,0
SYR; TUR; IRQ; EGY; JOR; LBN,2019,16
TUR; GRC,2019,0
DZA; TUN; LBY; ITA,2019,0
DZA; MAR; ESP,2019,0
BGD; MMR,2019,1.84
RWA,2019,0.15
SDN,2019,8.5
SEN,2019,0.38
SLV,2019,0.3
SOM,2019,5.4
SSD,2019,7.26
SYR,2019,11.71
TCD,2019,4.26
THA,2019,0
TTO,2019,0.06
TUN,2019,0
TUR,2019,2.73
TZA,2019,0.29
UGA,2019,1.69
UKR,2019,3.5
VEN,2019,14.92
YEM,2019,24.16
ZMB,2019,2.28
ZWE,2019,5.57
AFG,2020,14
ARM,2020,0
AZE,2020,0
BDI,2020,1.7
BFA,2020,2.17
BGD,2020,1.66
BHS,2020,0.01
BRA,2020,0.26
CAF,2020,2.8
CHN,2020,4.69
CMR,2020,3.45
COD,2020,23.43
COG,2020,0
COL,2020,8.87
CRI,2020,0.04
DJI,2020,0.31
DZA,2020,0
ECU,2020,0.63
EGY,2020,0.13
ERI,2020,2.58
ETH,2020,8.86
GRC,2020,0.08
GTM,2020,3.3
HND,2020,1.3
HTI,2020,4.1
IDN,2020,0.05
IND,2020,1.83
IRN,2020,0.02
IRQ,2020,4.3
JOR,2020,0.64
KEN,2020,3.59
LBN,2020,0.98
LBY,2020,1.07
LSO,2020,0.58
MAR,2020,0
MDG,2020,0.73
MEX,2020,0
MLI,2020,4.3
MMR,2020,0.98
MOZ,2020,1.91
MRT,2020,0.06
MWI,2020,2.62
NAM,2020,0.44
NER,2020,3.7
NGA,2020,9.39
NIC,2020,0
PAK,2020,3.04
PER,2020,0.89
PHL,2020,4.1
PRK,2020,10.9
PSE,2020,2.5
NGA; NER; TCD; CMR,2020,9.87
VEN; BRA; COL; ECU; PER; TTO; CHL; DOM; PAN,2020,19.32
IND; PAK,2020,0
SYR; TUR; IRQ; EGY; JOR; LBN,2020,15.93
TUR; GRC,2020,0
DZA; TUN; LBY; ITA,2020,0
DZA; MAR; ESP,2020,0
BGD; MMR,2020,1.63
LSO; MDG; MWI; NAM; SWZ; ZMB; ZWE; TZA,2020,11.91
ARM; AZE,2020,0
RWA,2020,0.15
SDN,2020,9.3
SEN,2020,0.51
SLV,2020,0.64
SOM,2020,5.3
SSD,2020,7.2
SWZ,2020,0.37
SYR,2020,11.71
TCD,2020,6.4
THA,2020,0.09
TTO,2020,0.06
TUN,2020,0
TUR,2020,2.66
TZA,2020,0.29
UGA,2020,1.69
UKR,2020,3.5
VEN,2020,14.32
VNM,2020,0.18
VUT,2020,0.12
YEM,2020,24.16
ZMB,2020,2.28
ZWE,2020,7
AFG,2021,18.4
AGO,2021,1.35
ARM,2021,0.09
AZE,2021,0
BDI,2021,2.4
BFA,2021,2.17
BGD,2021,1.36
BRA,2021,0.49
CAF,2021,2.8
CHN,2021,0.2
CMR,2021,4
COD,2021,19.59
COG,2021,1.2
COL,2021,8.5
CRI,2021,0.04
DJI,2021,0.31
DZA,2021,0
ECU,2021,0.42
EGY,2021,1.44
ERI,2021,2.58
ESP,2021,0.12
ETH,2021,23.51
FJI,2021,0.01
GRC,2021,0.02
GTM,2021,3.8
HND,2021,3.3
HTI,2021,5.05
IDN,2021,0.06
IND,2021,0
IRN,2021,3.4
IRQ,2021,4.39
ITA,2021,0.21
JOR,2021,1.46
KEN,2021,3.44
LBN,2021,3.21
LBY,2021,1.3
LSO,2021,0.58
MAR,2021,0
MDG,2021,1.35
MEX,2021,0
MLI,2021,5.9
MMR,2021,3.7
MOZ,2021,4.11
MRT,2021,0.09
MWI,2021,2.64
MYS,2021,0.18
NAM,2021,0.75
NER,2021,3.82
NGA,2021,16.37
NIC,2021,0
PAK,2021,11
PER,2021,1.31
PHL,2021,2.52
PRK,2021,10.43
PSE,2021,3.81
NGA; NER; TCD; CMR,2021,8.96
VEN; BRA; COL; ECU; PER; TTO; CHL; DOM; PAN,2021,20.55
IND; PAK,2021,0
SYR; TUR; IRQ; EGY; JOR; LBN,2021,25.61
TUR; GRC,2021,2.44
DZA; TUN; LBY; ITA,2021,0
DZA; MAR; ESP,2021,0
BGD; MMR,2021,2.19
LSO; MDG; MWI; NAM; SWZ; ZMB; ZWE; TZA,2021,13.63
ARM; AZE,2021,0
RWA,2021,0.14
SDN,2021,14.3
SEN,2021,0.51
SLV,2021,1.7
SOM,2021,7.74
SSD,2021,8.3
SWZ,2021,0.37
SYR,2021,13.4
TCD,2021,6.4
THA,2021,0.09
TLS,2021,0.01
TTO,2021,0.06
TUN,2021,0
TUR,2021,2.42
TZA,2021,0.29
UGA,2021,1.53
UKR,2021,3.4
VCT,2021,0.01
VEN,2021,14.8
VNM,2021,1
VUT,2021,0.12
YEM,2021,24.16
ZMB,2021,1.68
ZWE,2021,7
